Description,Title
Camera clarity is bad other than it its gud for average use not for power usgae and gamersREAD MORE,Terrific
Fast and lag-free phone from Samsung. Samsung is back to Indian market with bang with J and A series phone. Used this phone around a month and did not find any issue. Only thing is it does not have magnetic sensor means compass related apps will not work.READ MORE,Worth every penny
Awesome phone battery life is very goodREAD MORE,Delightful
too goodREAD MORE,Terrific
V goodREAD MORE,Delightful
Osm phone...osm flipkart...READ MORE,Awesome
Good look Nice screen... Without any heating problem ?READ MORE,Good
Speaker is not good.READ MORE,Bad quality
Really it's trustedREAD MORE,Mind-blowing purchase
Good phone and all working is goodREAD MORE,Just wow!
Super...it's amoled screen is better than j7 prime.... Must buy this ?READ MORE,Awesome
NiceREAD MORE,Classy product
It is good ph .good camera. Good performanceREAD MORE,Delightful
Nice battery backup...full paisa vasulREAD MORE,Nice product
Very good phoneREAD MORE,Very Good
Very very Nice cell for j5 6READ MORE,Best in the market!
just amazingREAD MORE,Highly recommended
Its Good..READ MORE,Pretty good
Good productREAD MORE,Best in the market!
Good phone in this price comparison other phone this phone is goodREAD MORE,Fair
Good oneREAD MORE,Highly recommended
Good phone .&good  battery backupREAD MORE,Just wow!
Nice mobileREAD MORE,Simply awesome
Nice mobileREAD MORE,Classy product
GoodREAD MORE,Value-for-money
Good Phone but some basic features are missing... when you are spending 12k Rs for a smart phone then you can expect at least a light sensor and magnetometer.. nowadays in Indian market you can get these basic features in 6k budget phone...Gyroscope is still can be ignored but Ambient Light sensor and Magnetometer must be there in a smart phone. .... best part of this phone is camera and display. Battery backup is average (one day with moderate use).If you are a game lover then stay away fro...READ MORE,Good Phone but some basic features are missing
Good product And Speed dilevaryREAD MORE,Perfect product!
Good product from samsung very nice awesomeREAD MORE,Very Good
Samsung galaxy j 5 are very good performers and this mobile are good rannigREAD MORE,Terrific
This product is to goodREAD MORE,Super!
Nice battery..nice look n nice performanceREAD MORE,Nice product
"GOOD PRODUCT IN BUDGET, HOWEVER I TOOK IT AS MY THIRD PHONE, SO DON'T BOTHER MUCH ABOUT THIS PHONE. ITS SPEAKER/ RINGER VOLUME IS NOT HEARABLE. DISAPPOINTED WITH SPEAKER/ RINGER VOLUME, REST IS OK. I AM IPHONE USER, SO DIDN'T EXPECT MUCH FROM SAMSUNG. SAMSUNG IS FAR FAR BEHIND APPLE. SAMSUNG HAS SAME DESIGN OF ALL PHONES, SO MUCH BIGGER RANGE WITH JUST MINOR CHANGES TO CONFUSE CUSTOMER. WOULD RECOMMEND APLLE IPHONE 5S INSTEAD OF THIS PHONE.READ MORE",GOOD PRODUCT BUT SPEAKER VOLUME VERY LOW
So good !!!READ MORE,Mind-blowing purchase
Very good smart phone by Samsung.Specification is very powerful and budget phone for every oneREAD MORE,Terrific
Great phone just loved it yea but charger had some problemsREAD MORE,Great product
Good MobileREAD MORE,Excellent
Good mobile and camera is ok but mobile was heating problomREAD MORE,Good but nothing fancy
Gud and afforadableREAD MORE,Just wow!
"Most important thing is Size, it a perfect size to hold in hand. And also not looks small in screen. In future as well i will try to buy 5.2 screen phone.No problem at all.Camera is awesome in low light as well.I had compared Camera with 16MP Xiomi(13 MP with Asus)  phone and my 13 MP is shoots much good pictures then 16MP. in low and good light.if you are not playing heavy games on this phone then its great to buy, i did not tried any game on it till now.READ MORE",Nice to have
Good fone no heating ishu and no hanging problem and thanks for flipkart.READ MORE,Great product
SuperbREAD MORE,Perfect product!
Very great phone with reasonable price and all the super features of samsungREAD MORE,Super phone
Awesome phoneREAD MORE,Delightful
Realy magicREAD MORE,Terrific
Nice phone.....everything ok.....but one problem is that phone is getting heat very soonREAD MORE,Fair
mobile chrger is not workingREAD MORE,Biggest mistake of my life!
Very good mobileREAD MORE,Value-for-money
Good productREAD MORE,Wonderful
Good phone amazing working i like itREAD MORE,Must buy!
"Its only 4g phone otherwise its hopeless phone , camera quality is very poor, when open storage select mp3 file it play directly and dont show any indication for how to stop, then atlast i restart my phone....so, its the software problem....also in display no auto brightness setup...when ever my little baby use the phone every i have to adjust the display brightness...My old phone samsung galaxy grand2 is far better phone than my recent j5 2016 (ghatiya phone)...dont go with it....READ MORE",Does the job
Not satisfied..READ MORE,Could be way better
NiceREAD MORE,Terrific purchase
Phone is very goob but charging is not gudREAD MORE,Mind-blowing purchase
Good  mobileREAD MORE,Nice product
Very nice productREAD MORE,Fabulous!
"No ambient light sensor, no led backlight for panel keys, no notification led.....scrapREAD MORE",Expected a better product
Mobile devices getting heavy heatREAD MORE,Overpriced
Phone was Superb. So sleek & compact. Liked a lot. Battery was also awesome with long durability..Thx flipkart...READ MORE,Worth every penny
Awesome phone with great looksREAD MORE,Simply awesome
Nice product.. when i bought second day price down 1000 rps is the only problem caused by flipkartREAD MORE,Awesome
GoodREAD MORE,Very Good
Best phoneREAD MORE,Good choice
Osm.READ MORE,Super!
Nice mobile phone with latest features and easy oparating and wonderfull features slim and beautifull.READ MORE,Great product
Words are less to explainREAD MORE,Awesome
Nice product in the branded rangeREAD MORE,Good choice
Good one.READ MORE,Awesome
O k nate a badeREAD MORE,Good but nothing fancy
Very good service of flipkart But not delivered in my cityREAD MORE,Worth every penny
Its amazing n lightning fast ...READ MORE,Terrific
"Working nice, good working still nowREAD MORE",Pretty good
"Bought this Samsung J5 6 two months before, its working very good, operating is too good, doesn't hangs like other Samsung mobiles....Loved this phone... :)??READ MORE",Perfect product!
OK OK type.READ MORE,Faced minor issues
Good mobileREAD MORE,Brilliant
In the month of November I bought two mobile at the gap of one week. Amazing prise with good features.READ MORE,Good Product At This Prise
SuperREAD MORE,Good quality product
Very good product by samsung and the delivery by flipkart is on time. Completely value for moneyThe mobile is ok but the processor is outdated in comparison to present mobile scnario. Both camera are excelent and no hanging or heat problem. Battery bacup is also good . It runs for two days if no heavy use of internet and games and if you use only for normal calling purpose.Overall good performance and good product.READ MORE,Super!
Its a nice budget phone. Can purchase it.READ MORE,Good quality product
Good phone but poor speakerREAD MORE,Nice
SatisfiedREAD MORE,Good quality product
Great phone Increased  samasung brand valueREAD MORE,Nice product
Nice phone.....i lik it...READ MORE,Nice product
Camara quality was not good .READ MORE,Expected a better product
AwesomeREAD MORE,Best in the market!
Very bad heating issues slow processing slow charging internet eats up battery in 2 hrs overall very bad productREAD MORE,Don't waste your money
Best Ever phone.....cost effective....READ MORE,Worth every penny
value for money product.READ MORE,value for money
Good mobile qualityREAD MORE,Fabulous!
Classy mobile from Samsung I am loving it!READ MORE,Master Piece!
I am using this phone from last 8 daysIt's amazing phone in this prize 10800READ MORE,Terrific purchase
Best phone by samsung.READ MORE,Excellent
Is very bad experienceREAD MORE,Met some expectations
Nice Product..READ MORE,Very Good
GoodREAD MORE,Terrific purchase
NiceREAD MORE,Fabulous!
super amolated screen...10/10good delivery system...10/10average battary...8/10camera....6/10READ MORE,Good but not best
few network sims are not accessible in this model .READ MORE,sim
Value for moneyREAD MORE,Best Smartphone under 15K
Home button is NOT a soft button.READ MORE,Selfie falsh..:)
Good product bu samsung. Love to use itREAD MORE,Good quality product
Good in this generationREAD MORE,Terrific
Very good phone.. ...READ MORE,Terrific
Price is too high.....READ MORE,Average Phone with high price...
amazing performance j5 6 phn...Low price good quality...awesomeREAD MORE,Good quality product
"WORST MOBILE PHONE  OF THIS SITE PRODUCTS, ALL PHONE ARE WORKING THIS SITE ONLY 2 TO 3 MONTHS WORKING GOOD CONDITION, AND NEXT MONTHS TO PHONE ARE HANGING, SPEAKER  AND OVER HEATING AND MOTHER BOARD PROBLEMS.READ MORE",WASTE
nice look  and  best  fonREAD MORE,Terrific purchase
Nice mobileREAD MORE,Worth the money
Very good in price bracketREAD MORE,Worth the money
Nice phone.. Little heat problemREAD MORE,Nice
Goog phone in budget price with brand battery is good overall nice phone n camera also goodREAD MORE,Delightful
Not badREAD MORE,Highly recommended
"I purchased this handset and after 12 days of using I am facing problem in the phone. I called Flipkart for replacement of product and they clearly said no saying we can not replace the phone after 10 days. Please do not buy any electronic products from Flipkart because the are selling defective products and even its not 15 days I am facing the problem with a so called brand new handset sold by Flipkart. The customer service is the worst thing we can expect from Flipkart. Dear friends, pleas...READ MORE",very bad product
"I got the j5 within 2 days.thanks to Flipkart.Regarding about j5 just amazing. Front flash,really great product.camera quality gr8.battery back 100% satisfied.READ MORE",Wonderful
"Really happy with the phone, battery backup is good, display is awesome, performance also good, overall it's a best product for around 15k. Bought it 3 months back.READ MORE",Nice phone to have
Quality productREAD MORE,Good quality product
Super mobile in this renge....READ MORE,Brilliant
GOOD  PERFORMANCE  I LIKE  ITREAD MORE,Wonderful
Awesome mobileREAD MORE,Terrific purchase
Very nice features and also good battery backup.preferred first choice to purchase in this priceREAD MORE,Does the job
Good productREAD MORE,Terrific purchase
GoodREAD MORE,Highly recommended
OveraOverall good phone same has j5Only problem facing is the vibration is very less and the touch is very sensitiveApart that is good phoneREAD MORE,Value-for-money
Good Battery backup .... nice phone ...Good service from flipkartREAD MORE,Must buy!
Nice phnREAD MORE,Value-for-money
Not bad..READ MORE,Good but nothing fancy
Nice lookREAD MORE,Just okay
I Am very happy with this product. Works good and pricing also reasonable. Good discount. Happy with this Samsung galaxy j5 6 .READ MORE,Wonderful
Awesome . Do not hesitate to buy this product. Just go for it.  Thank me nd flipkart later :)READ MORE,Fabulous!
J5 is  the best phone and good betery back up and good procsingREAD MORE,Terrific purchase
Good feture as compare to others mobile..READ MORE,Value-for-money
Nyc one..READ MORE,Great product
Very good productREAD MORE,Just wow!
Worth mobile in term of price @ featureREAD MORE,Value-for-money
Good productREAD MORE,Wonderful
Superb an Gretae experienceREAD MORE,Classy product
Best phone...under 12kREAD MORE,Great product
Good product and safe deliveredREAD MORE,Mind-blowing purchase
Super....nice phone..wort of money...READ MORE,Must buy!
nice mobile..........only wifi display option is not there........READ MORE,Highly recommended
Initially battery was good.. Now it drains like hell. I should charge my phone 7 to 8 times in a day .. disappointed with battery..READ MORE,Nice product
Good in condition and received in time..READ MORE,Wonderful
I purchased this phone at special offer.worth valueREAD MORE,Great product
Value for money. Must buy...READ MORE,Fabulous!
goodREAD MORE,Classy product
Good 4g phone from Samsung .It does not hangsREAD MORE,Very perfect phone
goodREAD MORE,Mind-blowing purchase
This phone is just a night mare.......gifted it to my  husband....but even he did not like the phone as slow charging...extreme heating issues....getting hang..pathetic phone....READ MORE,Worst experience ever!
Thank  you Flipkart for this  handset i m very happy with that....its very comfortable set for me and every one  and configuration is more better than look so every buddy can buy it... not to worryREAD MORE,Simply awesome
Mobile is good but front camera Clarity pictures low quality. Pls important front camera this my suggestions. More like the person's selfiy photo so pls improve the front camera.READ MORE,Nice
Hot problemREAD MORE,Not recommended at all
"nice phone,l like itREAD MORE",Worth every penny
Tq for your best product delivery lm very happy of this osm product mobileREAD MORE,Value-for-money
It's goodREAD MORE,Good choice
The best budget mobile when compared to all other mobiles.READ MORE,Really Nice
Samsung is samsung  i very like it. Buy with free feellREAD MORE,Mind-blowing purchase
Good phoneREAD MORE,Best in the market!
Superb set.There is no hanging problem like the previous samsung mobilesREAD MORE,Terrific purchase
Very nice mobileREAD MORE,Fabulous!
Good but some time strucksREAD MORE,Nice
NiceREAD MORE,Wonderful
Got the phone at a discounted price after launch. Battery life is awesome and interface is pretty smooth for daily functioning. But for heart users and camera lovers  this is not the phone for you.READ MORE,Delightful
Phone is good and very stylishREAD MORE,Good choice
Excellent phone...i gave it 4 stars because I got it very late..READ MORE,Value-for-money
Good dealREAD MORE,Really Nice
GoodREAD MORE,Good choice
Good @ offer price.READ MORE,Pretty good
Nice attractive phoneREAD MORE,Must buy!
It's very nice productREAD MORE,Highly recommended
Good product at best price..READ MORE,Excellent
5/5 flipkart is awesm....READ MORE,Excellent
Very good phone......READ MORE,Worth every penny
GoodREAD MORE,Wonderful
The product is as expected.READ MORE,AWESOME!
Product was awesome and delivery time was too good and cash on delivery made it more wonderfulREAD MORE,Great product
Very goodREAD MORE,Worth every penny
Best phone in indiaREAD MORE,Fabulous!
OkREAD MORE,Worthless
While charging and  long time browsing overheating else all features r goodREAD MORE,Really Nice
amazing mobile filpkart give low price of billion sale...thank you flipkart i love itREAD MORE,Really Nice
Good mobile Battery backup goodREAD MORE,Very Good
Hearing issue with poor camera quality lags all the time after 3 weeks of purchaseREAD MORE,Waste of money!
Ok niceREAD MORE,Just okay
Great phone. Used by mom. Battery back up and performance satisfactory. On time delivery by Flipkart as usual.READ MORE,Good budget phone
Good productREAD MORE,Very Good
Nice phoneREAD MORE,Just wow!
Where niceREAD MORE,Fabulous!
GoodREAD MORE,Excellent
Very good product from Samsung. . But the price is just more compared to other brands .READ MORE,Must buy!
good mobileREAD MORE,Very Good
Awesome phone...READ MORE,Wonderful
Just awesome... Nice purchase@9891/-READ MORE,Terrific purchase
"All over good quality and fast delivery,  sometimes it gets heat by using more internet or callingREAD MORE",Nice product
Really nice phone with optimum battery backup and tog supportREAD MORE,Highly recommended
Selfie pics quality not good while front pics is nice. Hanging problem is there even if tap any icon it's take time to open overall it's not good phone.READ MORE,Expected a better product
Very very niceREAD MORE,Excellent
Very nice phone. Great packaging and in good condition. Supercomnet is a very good seller and got it at a great discount on big billion day sale.READ MORE,Terrific
amezing product.. i trust to flipcart for electronics item...i bought two same phonesREAD MORE,Perfect product!
Camera quality bad.other wise okREAD MORE,Good choice
Average product..READ MORE,Very Good
Wonderful product from Flipkart thank youREAD MORE,Worth every penny
SatisfiesREAD MORE,Bad quality
Battery drain full fast. Please update battery backupREAD MORE,Decent product
Plz don't buy this mobileREAD MORE,Don't waste your money
GoodREAD MORE,Delightful
Very nice phoneREAD MORE,Fabulous!
"Vry gud phone,no hang issue battry backup ultimate..samsung best phone till date in 15 k range..READ MORE",Highly recommended
Worst phone battery backup is too poor.Rear speaker is also very poorREAD MORE,Horrible
Very good phone nice camera and display quality. But only issue is the design of grip around phone is not goodREAD MORE,Simply awesome
Awesome deal from Flipkart....READ MORE,Fabulous!
Best dealREAD MORE,Wonderful
This is a awesome product.READ MORE,Classy product
New phone get heats up while charging and battry get drained fastREAD MORE,Not recommended at all
Awsome phone with nice cameraREAD MORE,Classy product
BestREAD MORE,Brilliant
Fantastic mobile.. really awesome... no hanging problem..good battery packupREAD MORE,Terrific
Fantastic phone in this price segment.Value for money.READ MORE,Worth the money
GoodREAD MORE,Terrific
superb phone !READ MORE,Highly recommended
WorkingREAD MORE,Terrific purchase
Properly packed and delivered in early in good condition. Very good phone at this price.READ MORE,Best in the market!
good productREAD MORE,Just okay
"I would say the phone is okey, you get the brand name and good feel and performance,READ MORE",Value-for-money
Very good productI love it.READ MORE,Perfect product!
Nice one....READ MORE,Just wow!
Heating issue..flipkart is refusing for return..READ MORE,Unsatisfactory
"Good performance, smart lookREAD MORE",Good choice
Excellent phone battery back up. Please go for it value for money. Thanks Flipkart for timely delivery.READ MORE,Simply awesome
Product is the bestREAD MORE,Above-average product
"Hello Everyone    Samsung J5 6 is really Good ,  the Cemara pictures quality is awosome,  Battery life is too Good.After all Good Performance But Drawbacks is only The Musis  (Sound ) quality is Normal.READ MORE",Value-for-money
GoodREAD MORE,Great product
Far more better options are available in the market in terms of each and every specs.READ MORE,Utterly Disappointed
Nice PhoneREAD MORE,Great product
wow. really its too gd phn. i like this.READ MORE,Super!
GoodREAD MORE,Good quality product
Nice mobileREAD MORE,Best in the market!
God productREAD MORE,Super!
its heating from volume key side..suggest meREAD MORE,Moderate
Excellent mid range phn.Camera is ok. Battery performance is excellent. But in this price range there are so many choices with extra features.READ MORE,Great product
Impressive!!!READ MORE,Awesome
This phone is just awesome.. no glitches so far. Product delivery was a bit delay then other time but i can understand its due to heavy traffic on big billion saleREAD MORE,Worth every penny
Nice mobileREAD MORE,Worth every penny
Good item packing is goodREAD MORE,Worth the money
Nice phoneREAD MORE,Brilliant
Nice phone  look goodREAD MORE,Very Good
Good product.READ MORE,Wonderful
Nice phoneREAD MORE,Brilliant
Very goodREAD MORE,Great product
Good phoneREAD MORE,Good quality product
Awesome phone... its a beautifull nd slim phone with awesome qualities...it was my second phone its also brilliant phone...loved it...READ MORE,Great product
The phone is awesome if you are watching under 15000... this time samsung done great job...READ MORE,Perfect product!
GoodREAD MORE,Really Nice
Very nice phone to purchase from flipkartREAD MORE,Wonderful
"Good Product and Size for single hand use, ideal screen size 4.7 InchesREAD MORE",J5 2016
GoodREAD MORE,Terrific purchase
"Excellent mobile phone there are no problem in this phone,  only one thing is less it sensor control music player n calling features.READ MORE",Super!
Good product 10000 rangeREAD MORE,Must buy!
Excellent mobileREAD MORE,Perfect product!
excellent workREAD MORE,Mind-blowing purchase
AverageREAD MORE,Met Expectations
charging speed is too low min take 4 to 5 hour for full charging and main menu option is not workingREAD MORE,Utterly Disappointed
Heating problemREAD MORE,Does the job
Excellent PhoneREAD MORE,Pretty good
"Awesome phone, battery performance is altimet very smooth to use,READ MORE",Perfect product!
Very Nice with Super AMOLED ScreenREAD MORE,Value-for-money
Best phoneREAD MORE,Wonderful
good product.READ MORE,Good quality product
I m not  100% satisfied  with the product ...  little bit  scratch  on  mobile ....READ MORE,It's really  good  phone  ... ...
SuperREAD MORE,Pretty good
Bad products....READ MORE,Unsatisfactory
Everything works fineBoth cameras are goodNO heating issuesREAD MORE,Works well after 4 months of usage
Super sexy....but camera above average.READ MORE,Worth the money
Good product.READ MORE,Great product
Samsung j5 is a good entry - mid level phone. I am tired of using and experimenting wkrh brands like xiaomi micromax eureka le eco lenovo etc. Always buy samsung or apple or any such established brands.This phone is excellent for average user. I have been using reliance jio on this phone has good performance. If you use it for professional use it is a great phone. Great battery average camera sluggish processor. Nice size for pocket and to hold. You can wait for j5 prime and j7 prime before ...READ MORE,Terrific purchase
nice and smuthREAD MORE,Highly recommended
Only for people who are Hellbent of not using Chinese brand's or else it's just an average mobile from a big brand.READ MORE,Met Expectations
as compire to price not vary good but due to a sumsung brand it is good.READ MORE,satisfied
Quite good phone at very good price .....luv to have it ....READ MORE,Good choice
It is over heatingREAD MORE,Bad quality
Good phone.READ MORE,Brilliant
very gud productREAD MORE,Slightly disappointed
"Nice phone... value for money, specs are good not hanged uptill now n camera is upto the mark as far as considering 13mp &5mp with flash in front.. so J series is good if compared with previous samsung phones in this range.READ MORE",Nice product
Very good.READ MORE,Pretty good
Awsm product ... Fast delivery by flipkart....READ MORE,Mind-blowing purchase
Lovely phone thanks flipkartREAD MORE,Mind-blowing purchase
exellent phone but phone charging very slow overall good battery backup.READ MORE,Just wow!
Very happy...nice phone.READ MORE,Pretty good
Camera performance is averageREAD MORE,Good choice
Ok good and backside heatREAD MORE,Above-average product
It's heating very much on video recording .I requested for return but Flipcart rejected which is unfortunate. Phone is of avarage  quality and with heating problem also battery  drains very fast so it's not as expected or described by Flipcart.So I do not recommend others to buy this one.READ MORE,Heating
Better performanceREAD MORE,Very Good
Bad experience with product and FlipkartREAD MORE,Not recommended at all
Nice productREAD MORE,Very Good
"Features outstanding, S Health. It records my every step, keeps a record of my calories burnt.Flip wallet support.Marsh mellow.AMOLED. It gives a feeling of live cinema effect, as if i am watching in a Theater.5.2"".3100 mAh. It gives min 25 hours & max 33 hours of battery backup.I am very happy to have a phone. Everybody should try this out.Excellent.READ MORE",Technically marvelous.
Good phone but battery back up is very poorREAD MORE,Satisfied
MastREAD MORE,Must buy!
ExcellentREAD MORE,Nice Phone
One of the Best phn of samsungREAD MORE,Perfect product!
AmezingREAD MORE,Mind-blowing purchase
it's awesome phone @ reasonable price go for it flipkart doing great.READ MORE,Excellent
SuperREAD MORE,Really Nice
Its a nice mobile. The price decreased next day of my purchase.READ MORE,Decent product
BestREAD MORE,Highly recommended
Having heating issue otherwise k nice mobREAD MORE,Good choice
Amazing deal.. exchange my nokia lumia with samsung with exchange value of 5000.READ MORE,Classy product
goodREAD MORE,Simply awesome
GoodREAD MORE,Great product
Good productREAD MORE,Nice product
This mobile is ssoo goodREAD MORE,Terrific
NiceREAD MORE,Met Expectations
So goodREAD MORE,Nice product
Good price with decent specsREAD MORE,Terrific
GudREAD MORE,Good quality product
Normal 4G network ph is ok. But in volte & Lte network batery backup poor. Handset heated.READ MORE,Overpriced
Good phoneREAD MORE,Really Nice
"Nice product ,.  Working is Smooth goodREAD MORE",Perfect product!
Very very good phone by samsung . Screen size also gd fr single and dual hand user. Battery backup is awsome.filpkart service is amizing .i enjoy with filpkart very much.READ MORE,Awesome
Good handset.  Battery back up is little low.READ MORE,Nice product
"It's a Gud phone,, battery pack up also GudREAD MORE",Gud one
Excellent product by Samsung j5 2016 iditionREAD MORE,Simply awesome
Very good phoneREAD MORE,Classy product
NiceREAD MORE,Highly recommended
I bought this 2 months before.... and this is a nice phone i have to say.... on positive side....superb battery back up...... nice touch.... awsome camera quality.... and user competible... but on negative side... this phone too has slight heating issue while charging..... but i m ok with that... little laggy while operation.... and many time camera failed  occur while run the camera for taking picture. So i need to restart the phone again and again.. n i m fed up with that.... also when i en...READ MORE,Really Nice
NiceREAD MORE,Brilliant
GudREAD MORE,Wonderful
The phone is juzt amazing..hav a premium luk...good cameraREAD MORE,Pretty good
Good luck and good battery and good cameraREAD MORE,Wonderful
Spr  mobileREAD MORE,Expected a better product
5 starREAD MORE,Worth every penny
"Good phone , good featureREAD MORE",Good quality product
I got this phone at a special price due to big billion day offer in just 3 days.this phone is just awesome.READ MORE,Delightful
Heating problem ....but pun is okREAD MORE,Good but nothing fancy
Heating issue.READ MORE,Unsatisfactory
AwesomeREAD MORE,Highly recommended
After some time  this device shows charing problem. Even full night connet  battry did not fully charge. some time phone over-heated on internet usage.READ MORE,Not charing properly
Good looking wid some drawbacks !! Low voice is a majir drawback !! Everything else is goodREAD MORE,Wonderful
Heating problemREAD MORE,Hated it!
Very nice productREAD MORE,Classy product
Very good phoneREAD MORE,Just wow!
Working good.. but Getting heated upREAD MORE,Value-for-money
Nice and fantastic mobileREAD MORE,Above-average product
Good but not so goodREAD MORE,Good choice
Good phoneREAD MORE,Just wow!
awesome product and delivery time.READ MORE,awesome product
"Awsome phone with good featuresIam giving this review after  10 days of using my new phoneIts completely awsome with no laging And good camera quality And as i love samsung i rate it as 5/5And thanx for the flipkart for the good and fast service i got my phone in two days though there was no stock but flipkart provided a good product in time    And phone is damn awsome , i prefer my frnds to go fr this phone samsung galaxy j5- 6And atlast battery backup is awsome with 3100 mahAnd jio ...READ MORE",Samsung galaxy j5- 6 model
After 10 days mobile heating problem started and charger too.READ MORE,Bad quality
Samsung made J5 2016 one of the awesome budget phone with latest features & simply superb stylish body. I really like this product.READ MORE,Terrific
"Thanks to flipkart. Received the product in time. About the product after using 15days.  Looking nice.  Battery is too good. I used contineously for a day also remaining 30-40%battery. No need to carry powerbang will travelling.        No heating problem. While charging ,Wi-Fi usage, net using and gaming also battery temperature normal.       2gm Ram is enough for more usage. I installed all hotel apps, cabs, games,social app. Normal working. No any hanging Camera clarity is super.READ MORE",Very Good
Phone is too gud Thnx Flipkart for providing me phone in less than actual priceREAD MORE,Super!
Superb my dear friends...cute and smartREAD MORE,Brilliant
BetterREAD MORE,Worth the money
J5 is my deam mobile very niceREAD MORE,Great product
Sound Quality Very PoorREAD MORE,Did not meet expectations
Is very good product battery backup is very good but it's not given charging light is problemREAD MORE,Terrific purchase
Super phone at this price 9891..working good.no heating issue.delivered in 1 day.READ MORE,Awesome phone
ThankuREAD MORE,Excellent
I heard that phone of Samsung J series are not allowed in flight because there is chance of blast in J series mobiles..READ MORE,Met some expectations
Ring volume is lowREAD MORE,Very Good
Nice oneREAD MORE,Excellent
It's goodREAD MORE,Good choice
Good mobile...READ MORE,Delightful
Awesome phon..READ MORE,Fabulous!
Samsung launch a bad samartfoneREAD MORE,Not recommended at all
ExcellentREAD MORE,Terrific purchase
Best Heater for your home this winterREAD MORE,Terrible product
Very badREAD MORE,Terrible product
Super handy phone..i brought it in 9990 INR on big billion day with sbi bank offer ..fabulous mobile in this price range.READ MORE,Wonderful
Phone is awesome.....looks good....works good....battery backup is also nice......READ MORE,Excellent
That's nice... I am satisfiedREAD MORE,Simply awesome
Up to expectations...READ MORE,Mind-blowing purchase
NiceREAD MORE,Very poor
Good handsetREAD MORE,Good one
Display so smart and also good battery life My suggestion is phone will be good and long battery  lifeREAD MORE,Good
Very nice and slim piece. Reasonable priceREAD MORE,Good choice
Phone was goodREAD MORE,Wonderful
OkREAD MORE,Good
Good phoneREAD MORE,Terrific purchase
Samsung J5 2016 - Best mobile Over all specification very goodREAD MORE,Does the job
"Camera is wonderful. Battery backup is decent. Processor sucks at 1.2 Ghz. Perfect for normal use. Not good for gaming or high performance tasks. It's really lame that this device lacks auto brightness option, which is a very useful Android feature. No gyro sensor either.READ MORE",Bad quality
Camera Quality is very Poor. Ringing Volume is very poor. Screen output is also not good.READ MORE,"Camera, Volume and Screen not good."
SuperbREAD MORE,Really Nice
Very good phoneSamsung is best in 2016READ MORE,Brilliant
"best one, camera, screen size, ram, even processor is quot good. sound average but in earphone its sound goodREAD MORE",awesome phone under 11990
FineREAD MORE,Just wow!
Look is fantastic..But heating issue at using time.Proccer is slow..But other wise very good.Every body  can try it...READ MORE,Does the job
Heating issue while charging..and wifiREAD MORE,Really Nice
very nice....all futures good...READ MORE,Brilliant
all are good...READ MORE,Brilliant
This phone is amazing for this price battery backup is very good...I am very very happy ....????READ MORE,Simply awesome
I suugest to buy this phone....smooth touch and rare camera is really good...READ MORE,Brilliant
Very good mobile at reasonable rate.READ MORE,Highly recommended
The mobile performance is too bad ...getting frequently hang and quick battery drainREAD MORE,Brilliant
this was amazingREAD MORE,Super!
goodREAD MORE,Really Nice
Its amazyingREAD MORE,Simply awesome
Super workingREAD MORE,Super!
Nice phone ....delivery on time....good app for unlimited shoppingREAD MORE,Simply awesome
First time I have used Samsung mobile and it's a good experience.READ MORE,Great product
Scrap....no ambient light sensor..no notification led... no backlight for panel keys....total wasteREAD MORE,Waste of money!
Good  product.READ MORE,Does the job
Better phone on this offer priceREAD MORE,Pretty good
"Nice phone, bought below rs10000/-on big billion day sale ,value for money.READ MORE",Good choice
Amazing phone. N Flipkart deliver make me sad. For receiving order i m going ekart office. Order nvr come my home.READ MORE,Nice product
Hai good mobileREAD MORE,Terrific purchase
ExcellentREAD MORE,Good but nothing fancy
Satisfied qualityREAD MORE,Classy product
Friends dnt purchase this mobile .phone always overheated And camera clarity and quality also too worst....READ MORE,Hated it!
Very goodREAD MORE,Terrific
"avg camera , speakers are not loud enough no sensors, average ,decent displayREAD MORE",Expected a better product
Very good mobile. Reasonable priceREAD MORE,Brilliant
"Good product, but camera quality is not up to the markREAD MORE",Good but nothing fancy
NiceREAD MORE,Really Nice
Nice product with excellent featuresREAD MORE,Terrific purchase
Very good set.but I think it's not vote set.front flash is not working while video calling.not gaming setREAD MORE,Nice product
NiceREAD MORE,Very Good
"NICE, STURDY AND BEAUTIFUL.READ MORE",GREAT PRODUCT.
Design and Display is very good..but the real problem is the j5 2016 heated very much.. All side of the phone is covered by metal and we know that metal is a good conductor of heat..So after some time side of the phone became very hot and very difficult to hold on hands for long time... may cold weather will solve the problem..ha ha.. :-)READ MORE,Good quality product
Vry good looking and procesing samsung j5 2016READ MORE,Wonderful
Nice mobile n thanks flipkart on time deliveryREAD MORE,Worth every penny
Very good productREAD MORE,Met Expectations
Best samsung device worth of moneyThe only corn is the battery back up which company should be review again.READ MORE,Value-for-money
jio sim not working proper ....network problem in jio at the same time other mobile hv gud network at same place other wise mobile awesome everythingREAD MORE,Best in the market!
Good quality phone.no any one problem.READ MORE,Great product
Phone is good . Battery withstand 8 hoursREAD MORE,Pretty good
Very fast processing nd nice fantastic deals.READ MORE,Fabulous!
network prob......READ MORE,j5
Heating issue while charging.... disappointed.READ MORE,Met Expectations
"Absolutely Good phone.. batter backup is good, very easy to use and touch is too good.READ MORE",Awesome Product
good looking phone.READ MORE,Good one.
